Method,MPA,MRD,MSD,MSD-norm
SR,0.6919191919191918,2.6574074074074074,0.026782250519157502,0.030905812316977824
AR,0.6784511784511785,2.7222222222222223,0.04283619725702288,0.04887909405973277
DA,0.6548821548821548,2.7685185185185186,0.04978876979801195,0.05669271881813173
PWC,0.5841750841750841,3.3888888888888893,6.6818978333921455e-18,0.0011756830807927278
