Method,MISPB,MISPB_raw,MISPB_other,MISPB_ratio,MISPB-F,MISPB-F_raw,MISPB-F_other,MISPB-F_ratio,MISPB-FO,MISPB-FO_raw,MISPB-FO_other,MISPB-FO_ratio,HSPP,HSPP_raw,HSPP_other,HSPP_ratio,HSPP-F,HSPP-F_raw,HSPP-F_other,HSPP-F_ratio,HSPP-FO,HSPP-FO_raw,HSPP-FO_other,HSPP-FO_ratio,MISPB_n_t2w_self,MISPB_n_l2w_self,MISPB_n_l2t_self,MISPB_n_t2w_other,MISPB_n_l2w_other,MISPB_n_l2t_other,MISPB-F_n_t2w_self,MISPB-F_n_l2w_self,MISPB-F_n_l2t_self,MISPB-F_n_t2w_other,MISPB-F_n_l2w_other,MISPB-F_n_l2t_other,MISPB-FO_n_t2w_self,MISPB-FO_n_l2w_self,MISPB-FO_n_l2t_self,MISPB-FO_n_t2w_other,MISPB-FO_n_l2w_other,MISPB-FO_n_l2t_other,HSPP_n_t2w_self,HSPP_n_l2w_self,HSPP_n_l2t_self,HSPP_n_t2w_other,HSPP_n_l2w_other,HSPP_n_l2t_other,HSPP-F_n_t2w_self,HSPP-F_n_l2w_self,HSPP-F_n_l2t_self,HSPP-F_n_t2w_other,HSPP-F_n_l2w_other,HSPP-F_n_l2t_other,HSPP-FO_n_t2w_self,HSPP-FO_n_l2w_self,HSPP-FO_n_l2t_self,HSPP-FO_n_t2w_other,HSPP-FO_n_l2w_other,HSPP-FO_n_l2t_other
SR,0.021314189336370484,0.1137063798801322,0.09239219054376172,1.2844895102394471,0.018619341909545235,0.11101153245330693,0.09239219054376172,1.2496061066439275,0.017187898703610347,0.10958008924737206,0.09239219054376172,1.230775035290476,0.057836927503859444,0.8437450105909242,0.7859080830870647,1.0783468005158308,0.05184678297948628,0.8377548660665509,0.7859080830870647,1.0884616732126693,0.05352395037247453,0.8394320334595392,0.7859080830870647,1.1079584388543746,1887,199,4004,15078,1342,29918,4741,509,10824,15078,1342,29918,2854,310,6820,15078,1342,29918,0,199,4004,0,1342,29918,0,509,10824,0,1342,29918,0,310,6820,0,1342,29918
AR,0.019946642435859935,0.10873989432214942,0.08879325188628946,1.2834395258224867,0.016641875729984174,0.10543512761627366,0.08879325188628946,1.2437621476789313,0.014625407909449809,0.10341865979573929,0.08879325188628946,1.2198015697656206,0.04806139068866641,0.8540502171038084,0.8059888264151419,1.0597025910483953,0.041504275205662536,0.8474931016208045,0.8059888264151419,1.076285445341524,0.041565015001410376,0.8475538414165524,0.8059888264151419,1.100617508030414,1564,150,4110,12378,1139,31013,3789,380,11109,12378,1139,31013,2225,230,6999,12378,1139,31013,0,150,4110,0,1139,31013,0,380,11109,0,1139,31013,0,230,6999,0,1139,31013
DA,0.0163163779922868,0.10489366866446348,0.08857729067217669,1.2399046792135993,0.014094529190031346,0.10267181986220802,0.08857729067217669,1.214317616288587,0.012367461843740336,0.10094475251591703,0.08857729067217669,1.1950356146132068,0.03943105062005886,0.8701982167274597,0.8307671661074006,1.043120821657506,0.040951738264782156,0.8717189043721828,0.8307671661074006,1.0706791986425888,0.045147791239576525,0.8759149573469772,0.8307671661074006,1.101153949753039,1298,136,4184,11290,1120,32069,3074,318,11465,11290,1120,32069,1776,182,7281,11290,1120,32069,0,136,4184,0,1120,32069,0,318,11465,0,1120,32069,0,182,7281,0,1120,32069
PWC,0.08094292690719061,0.32638772195149274,0.24544479504430208,1.3313809331756419,0.06501034165852404,0.3104551367028262,0.24544479504430208,1.2698386708366347,0.05626920260315208,0.30171399764745416,0.24544479504430208,1.236940985100092,0.12520977193546262,0.6686075144281565,0.5433977424926938,1.2398451617748882,0.10500585237150842,0.6484035948642022,0.5433977424926938,1.2212292906238023,0.09763553397304985,0.6410332764657436,0.5433977424926938,1.2284979193739847,14104,1536,1841,100342,7207,14586,38434,4185,4844,100342,7207,14586,24330,2649,3003,100342,7207,14586,0,1536,1841,0,7207,14586,0,4185,4844,0,7207,14586,0,2649,3003,0,7207,14586
