Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,SR,0.8733013589128698,0.0158444672833162,0.0158444672833162
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,AR,0.875599520383693,0.018585131894484415,0.018585131894484415
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,SR,0.8380295763389288,0.026635834189791013,0.026635834189791013
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,AR,0.8576139088729017,0.02774922918807811,0.02774922918807811
gemma_3_27b_it+qwen3_235b_instruct,2,SR,0.8829936051159073,0.01938449240607514,0.01938449240607514
gemma_3_27b_it+qwen3_235b_instruct,2,AR,0.8873900879296562,0.01738609112709832,0.01738609112709832
gemma_3_27b_it+qwen3_30b_instruct,2,SR,0.8786970423661071,0.02757793764988009,0.02757793764988009
gemma_3_27b_it+qwen3_30b_instruct,2,AR,0.896382893685052,0.029776179056754594,0.029776179056754594
gemma_3_27b_it+qwen3_4b_instruct,2,SR,0.8487210231814548,0.029376498800959223,0.029376498800959223
gemma_3_27b_it+qwen3_4b_instruct,2,AR,0.8666067146282974,0.029976019184652286,0.029976019184652286
gemma_3_4b_it+gpt_120b_oss,2,SR,0.9000799360511591,0.014902363823227132,0.014902363823227132
gemma_3_4b_it+gpt_120b_oss,2,AR,0.9027777777777778,0.013275094210346011,0.013275094210346011
gemma_3_4b_it+gpt_5,2,SR,0.908273381294964,0.0016272696128811232,0.0016272696128811232
gemma_3_4b_it+gpt_5,2,AR,0.29396482813749003,0.012589928057553958,0.012589928057553958
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,SR,0.8724020783373302,0.03331620417951353,0.03331620417951353
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,AR,0.875599520383693,0.03485782802329565,0.03485782802329565
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,SR,0.8385291766586731,0.040510448783830075,0.040510448783830075
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,AR,0.8564148681055156,0.0433367591640973,0.0433367591640973
gemma_3_4b_it+qwen3_235b_instruct,2,SR,0.8829936051159073,0.021982414068744998,0.021982414068744998
gemma_3_4b_it+qwen3_235b_instruct,2,AR,0.8877897681854516,0.021982414068744995,0.021982414068744995
gemma_3_4b_it+qwen3_30b_instruct,2,SR,0.8782973621103117,0.04316546762589928,0.04316546762589928
gemma_3_4b_it+qwen3_30b_instruct,2,AR,0.8960831334932055,0.049160671462829736,0.049160671462829736
gemma_3_4b_it+qwen3_4b_instruct,2,SR,0.8465227817745803,0.04176658673061551,0.04176658673061551
gemma_3_4b_it+qwen3_4b_instruct,2,AR,0.8673061550759392,0.044764188649080744,0.044764188649080744
gpt_120b_oss+gpt_5,2,SR,0.8939848121502798,-0.0032374100719424473,-0.0032374100719424473
gpt_120b_oss+gpt_5,2,AR,0.28946842525979216,-0.005875299760191846,-0.005875299760191846
gpt_120b_oss+llama_4_maverick_17b_128e_instruct,2,SR,0.8734012789768185,-0.00329736211031175,-0.00329736211031175
gpt_120b_oss+llama_4_maverick_17b_128e_instruct,2,AR,0.8751998401278976,-0.005095923261390886,-0.005095923261390886
gpt_120b_oss+llama_4_scout_17b_16e_instruct,2,SR,0.8317346123101519,-0.0017985611510791403,-0.0017985611510791403
gpt_120b_oss+llama_4_scout_17b_16e_instruct,2,AR,0.8582134292565947,-0.004196642685851319,-0.004196642685851319
gpt_120b_oss+qwen3_235b_instruct,2,SR,0.873101518784972,-0.003340184994861253,-0.003340184994861253
gpt_120b_oss+qwen3_235b_instruct,2,AR,0.8784972022382095,-0.007536827680712577,-0.007536827680712577
gpt_120b_oss+qwen3_30b_instruct,2,SR,0.8756994404476419,0.0008564576909900687,0.0008564576909900687
