Judge,MRD-SP,MRD-SP_d_self,MRD-SP_d_other,MRD-FSP,MRD-FSP_d_family,MRD-FSP_d_nonfamily,MRD-FOSP,MRD-FOSP_d_family,MRD-FOSP_d_nonfamily,MSD-SP,MSD-SP_d_self,MSD-SP_d_other,MSD-SP-norm,MSD-SP-norm_d_self,MSD-SP-norm_d_other,MSD-FSP,MSD-FSP_d_family,MSD-FSP_d_nonfamily,MSD-FSP-norm,MSD-FSP-norm_d_family,MSD-FSP-norm_d_nonfamily,MSD-FOSP,MSD-FOSP_d_family,MSD-FOSP_d_nonfamily,MSD-FOSP-norm,MSD-FOSP-norm_d_family,MSD-FOSP-norm_d_nonfamily
Gemma-27B,-0.1111111111111111,0.0,0.1111111111111111,-0.4444444444444444,-0.3333333333333333,0.1111111111111111,-0.6111111111111112,-0.5,0.1111111111111111,-0.004589812711610894,0.07011773221783513,0.07470754492944602,-0.034738899804934845,0.11959382329629815,0.154332723101233,0.011542364152296758,0.08624990908174278,0.07470754492944602,0.007271142519751583,0.16160386562098458,0.154332723101233,0.019608452584250577,0.0943159975136966,0.07470754492944602,0.02827616368209479,0.1826088867833278,0.154332723101233
Gemma-12B,1.2222222222222223,1.0,-0.2222222222222222,0.8888888888888888,0.6666666666666666,-0.2222222222222222,0.7222222222222222,0.5,-0.2222222222222222,-0.021095300800719176,0.012452605964870744,0.03354790676558992,-0.05694213500277379,0.021684182953811422,0.07862631795658521,-0.006619747941363031,0.02692815882422689,0.03354790676558992,-0.025878089049773907,0.05274822890681131,0.07862631795658521,0.0006180284883150408,0.03416593525390496,0.03354790676558992,-0.010346066073273957,0.06828025188331126,0.07862631795658521
Gemma-4B,-6.111111111111111,-5.0,1.1111111111111112,-4.444444444444445,-3.3333333333333335,1.1111111111111112,-3.611111111111111,-2.5,1.1111111111111112,0.13112379652975129,0.14326488902507079,0.012141092495319503,0.263291978078504,0.2948814696332148,0.031589491554710816,0.11137949166356612,0.12352058415888562,0.012141092495319503,0.19743001143849104,0.22901950299320187,0.031589491554710816,0.10150733923047353,0.11364843172579303,0.012141092495319503,0.1644990281184846,0.1960885196731954,0.031589491554710816
Llama-Mav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011452170287149656,0.026230299613662855,0.03768246990081251,-0.005122363676959972,0.060128024542849316,0.06525038821980929,-0.007048964411636667,0.030633505489175844,0.03768246990081251,0.0060043467509514475,0.07125473497076074,0.06525038821980929,-0.0026457585361236782,0.03503671136468883,0.03768246990081251,0.01713105717886286,0.08238144539867215,0.06525038821980929
Llama-Scout,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.023534317263227834,0.032686957671540395,0.009152640408312563,0.0585965370482463,0.07685649462468117,0.01825995757643487,0.017502170376719146,0.026654810785031707,0.009152640408312563,0.043805077330650394,0.06206503490708526,0.01825995757643487,0.011470023490210457,0.02062266389852302,0.009152640408312563,0.02901361761305449,0.04727357518948936,0.01825995757643487
Qwen-235B,-0.1111111111111111,0.0,0.1111111111111111,-0.4444444444444444,-0.3333333333333333,0.1111111111111111,-0.6111111111111112,-0.5,0.1111111111111111,0.011603381616768285,-0.019807032495874344,-0.03141041411264263,0.025822141212392444,-0.03170927615984645,-0.057531417372238894,0.0034027185066497073,-0.02800769560599292,-0.03141041411264263,0.009539486054451311,-0.04799193131778758,-0.057531417372238894,-0.0006976130484095816,-0.03210802716105221,-0.03141041411264263,0.0013981584754807486,-0.056133258896758145,-0.057531417372238894
Qwen-30B,-1.2222222222222223,-1.0,0.2222222222222222,-0.8888888888888888,-0.6666666666666666,0.2222222222222222,-0.7222222222222222,-0.5,0.2222222222222222,-0.005515523625531843,0.06139277321165981,0.06690829683719166,-0.02911958449151905,0.10251042155994308,0.13163000605146213,-0.0013724561178995037,0.06553584071929215,0.06690829683719166,-0.01963578083782476,0.11199422521363737,0.13163000605146213,0.0006990776359166728,0.06760737447310833,0.06690829683719166,-0.014893879010977606,0.11673612704048453,0.13163000605146213
Qwen-4B,-0.1111111111111111,0.0,0.1111111111111111,-0.4444444444444444,-0.3333333333333333,0.1111111111111111,-0.6111111111111112,-0.5,0.1111111111111111,-0.0033734612959335913,0.04592325012060472,0.04929671141653831,-0.021583645714860142,0.08295687342095448,0.10454051913581462,-0.015915020694938213,0.0333816907216001,0.04929671141653831,-0.04729706009826688,0.05724345903754774,0.10454051913581462,-0.022185800394440527,0.027110911022097783,0.04929671141653831,-0.06015376728997025,0.04438675184584437,0.10454051913581462
GPT-120B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011409210021150806,-0.16854954007405676,-0.17995875009520756,0.05764305949819587,-0.24571402974819329,-0.30335708924638916,0.012770119455704443,-0.16718863063950312,-0.17995875009520756,0.07086579539379967,-0.2324912938525895,-0.30335708924638916,0.01413102889025808,-0.16582772120494949,-0.17995875009520756,0.08408853128940347,-0.2192685579569857,-0.30335708924638916
