Judge,MRD-SP,MRD-SP_d_self,MRD-SP_d_other,MRD-FSP,MRD-FSP_d_family,MRD-FSP_d_nonfamily,MRD-FOSP,MRD-FOSP_d_family,MRD-FOSP_d_nonfamily,MSD-SP,MSD-SP_d_self,MSD-SP_d_other,MSD-SP-norm,MSD-SP-norm_d_self,MSD-SP-norm_d_other,MSD-FSP,MSD-FSP_d_family,MSD-FSP_d_nonfamily,MSD-FSP-norm,MSD-FSP-norm_d_family,MSD-FSP-norm_d_nonfamily,MSD-FOSP,MSD-FOSP_d_family,MSD-FOSP_d_nonfamily,MSD-FOSP-norm,MSD-FOSP-norm_d_family,MSD-FOSP-norm_d_nonfamily
Gemma-27B,-0.2222222222222222,0.0,0.2222222222222222,-0.8888888888888888,-0.6666666666666666,0.2222222222222222,-1.2222222222222223,-1.0,0.2222222222222222,-0.005132630045815906,0.07020197057572442,0.07533460062154032,-0.033635843896401105,0.11993249100262278,0.15356833489902388,0.011973354454174231,0.08730795507571455,0.07533460062154032,0.009778585164729348,0.16334692006375323,0.15356833489902388,0.020526346704169307,0.09586094732570963,0.07533460062154032,0.03148579969529458,0.18505413459431846,0.15356833489902388
Gemma-12B,1.2222222222222223,1.0,-0.2222222222222222,0.8888888888888888,0.6666666666666666,-0.2222222222222222,0.7222222222222222,0.5,-0.2222222222222222,-0.018592493046312525,0.012982212644576663,0.03157470569088919,-0.05017462847375562,0.022702907305868412,0.07287753577962403,-0.006000437588676716,0.025574268102212472,0.03157470569088919,-0.02290578063145802,0.04997175514816601,0.07287753577962403,0.0002955901401411887,0.031870295831030376,0.03157470569088919,-0.009271356710309223,0.0636061790693148,0.07287753577962403
Gemma-4B,-6.111111111111111,-5.0,1.1111111111111112,-4.444444444444445,-3.3333333333333335,1.1111111111111112,-3.611111111111111,-2.5,1.1111111111111112,0.12791290510320943,0.14707333356003754,0.019160428456828114,0.2580466113773363,0.30115223244026373,0.0431056210629274,0.10808589952266115,0.12724632797948926,0.019160428456828114,0.19266255759847203,0.23576817866139943,0.0431056210629274,0.09817239673238701,0.11733282518921512,0.019160428456828114,0.15997053070903985,0.20307615177196725,0.0431056210629274
Llama-Mav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010749212166437108,0.02376755753590426,0.03451676970234137,-0.006235873393574065,0.053500048988481576,0.05973592238205564,-0.0065613862163207,0.02795538348602067,0.03451676970234137,0.004086179288933241,0.06382210167098888,0.05973592238205564,-0.0023735602662042915,0.03214320943613708,0.03451676970234137,0.014408231971440554,0.0741441543534962,0.05973592238205564
Llama-Scout,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.022038287368596754,0.03022813597036217,0.008189848601765415,0.053397827576485826,0.06972668935433947,0.016328861777853643,0.0158080228679017,0.023997871469667115,0.008189848601765415,0.03853165429170937,0.05486051606956301,0.016328861777853643,0.009577758367206646,0.01776760696897206,0.008189848601765415,0.023665481006932915,0.03999434278478656,0.016328861777853643
Qwen-235B,-0.1111111111111111,0.0,0.1111111111111111,-0.4444444444444444,-0.3333333333333333,0.1111111111111111,-0.6111111111111112,-0.5,0.1111111111111111,0.012484616268865014,-0.018176059029091696,-0.03066067529795671,0.026979193181448712,-0.02926784988255243,-0.05624704306400114,0.0037712468739886894,-0.02688942842396802,-0.03066067529795671,0.010021941902821296,-0.046225101161179845,-0.05624704306400114,-0.000585437823449473,-0.031246113121406183,-0.03066067529795671,0.0015433162635075867,-0.054703726800493555,-0.05624704306400114
Qwen-30B,-1.2222222222222223,-1.0,0.2222222222222222,-0.8888888888888888,-0.6666666666666666,0.2222222222222222,-0.7222222222222222,-0.5,0.2222222222222222,-0.001808157287484874,0.06422260607113484,0.06603076335861971,-0.020911204231517863,0.10766357810889342,0.12857478234041128,0.0005860194976343852,0.0666167828562541,0.06603076335861971,-0.01458404047420167,0.11399074186620961,0.12857478234041128,0.0017831078901940078,0.06781387124881372,0.06603076335861971,-0.011420458595543581,0.1171543237448677,0.12857478234041128
Qwen-4B,-0.1111111111111111,0.0,0.1111111111111111,-0.4444444444444444,-0.3333333333333333,0.1111111111111111,-0.6111111111111112,-0.5,0.1111111111111111,-0.0029212642859596308,0.04991069543767168,0.05283195972363131,-0.018886511849367377,0.0900639110350678,0.10895042288443518,-0.014249631667800397,0.038582328055830915,0.05283195972363131,-0.042829079515085466,0.06612134336934972,0.10895042288443518,-0.019913815358720784,0.03291814436491053,0.05283195972363131,-0.05480036334794451,0.05415005953649067,0.10895042288443518
GPT-120B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010169192720154624,-0.17033599807168742,-0.18050519079184205,0.05406394458240696,-0.2497675287763406,-0.30383147335874755,0.012188868943894954,-0.1683163218479471,-0.18050519079184205,0.06801656412544657,-0.23581490923330098,-0.30383147335874755,0.014208545167635284,-0.16629664562420676,-0.18050519079184205,0.08196918366848618,-0.22186228969026137,-0.30383147335874755
