Judge,MIPA,n_agree,n_total
Gemma-27B,0.5969424242424243,196991,330000
Gemma-12B,0.5641636363636363,186174,330000
Gemma-4B,0.5309393939393939,175210,330000
Llama-Mav,0.6433272727272727,212298,330000
Llama-Scout,0.6091636363636364,201024,330000
Qwen-235B,0.6734333333333333,222233,330000
Qwen-30B,0.5971151515151515,197048,330000
Qwen-4B,0.5634121212121213,185926,330000
GPT-120B,0.5925090909090909,195528,330000
