Judge,MISPB,MISPB_raw,MISPB_other,MISPB_ratio,n_overest_self,n_total_self,n_overest_other,n_total_other,n_t2w_self,n_l2w_self,n_l2t_self,n_t2w_other,n_l2w_other,n_l2t_other
Gemma-27B,0.009098989898989884,0.1838,0.1747010101010101,1.0520832128774125,10109,55000,86477,495000,2630,4780,2699,21014,41757,23706
Gemma-12B,-0.008953535353535325,0.18714545454545456,0.19609898989898988,0.9543417568945803,10293,55000,97069,495000,2860,4910,2523,23865,50048,23156
Gemma-4B,0.14034545454545455,0.3257818181818182,0.18543636363636362,1.7568389057750762,17918,55000,91791,495000,3308,10626,3984,23264,45607,22920
Llama-Mav,-0.02993090909090909,0.12992727272727272,0.15985818181818182,0.8127658606492117,7146,55000,87922,550000,1554,3204,2388,24625,41122,22175
Llama-Scout,-0.008610909090909086,0.16605454545454545,0.17466545454545454,0.9507005600316449,9133,55000,96066,550000,1759,4478,2896,26355,47060,22651
Qwen-235B,0.02213131313131314,0.15825454545454545,0.1361232323232323,1.1625829239696652,8704,55000,67381,495000,2759,4002,1943,18924,31007,17450
Qwen-30B,0.012721212121212133,0.1890909090909091,0.17636969696969695,1.0721281055633827,10400,55000,87303,495000,2590,4862,2948,19821,42079,25403
Qwen-4B,0.005092929292929288,0.20234545454545455,0.19725252525252526,1.0258193363375665,11129,55000,97640,495000,2281,5288,3560,19847,48081,29712
GPT-120B,-0.012952727272727255,0.17298181818181818,0.18593454545454544,0.9303371665493234,9514,55000,102264,550000,3692,3967,1855,30513,44369,27382
