committee,n_members,n_eval_judges,MPA,MRD,MSD
llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,2,10,0.9515151515151515,0.5,-0.11053321614286607
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,2,10,0.943939393939394,0.5999999999999999,-0.017816966924101806
llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,2,10,0.9348484848484849,0.7,-0.07637271437374442
llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,2,10,0.9348484848484849,0.7,-0.06696965810936048
qwen3_235b_instruct+qwen3_30b_instruct,2,10,0.9515151515151515,0.5,-0.04168222736265146
qwen3_235b_instruct+qwen3_4b_instruct,2,10,0.9454545454545455,0.5666666666666667,-0.05342649249105621
qwen3_30b_instruct+qwen3_4b_instruct,2,10,0.9303030303030303,0.7499999999999999,-0.11451222555226788
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it,3,9,0.9410774410774412,0.6111111111111112,0.09296011571341928
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it,3,9,0.9393939393939394,0.6296296296296295,0.0765803688844812
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it,3,9,0.9629629629629629,0.4074074074074074,0.08052248404220141
claude_4_5_haiku+claude_4_5_sonnet+gpt_120b_oss,3,9,0.9377104377104377,0.6481481481481481,0.14703967383046757
claude_4_5_haiku+claude_4_5_sonnet+gpt_5,3,9,0.9393939393939392,0.6296296296296295,0.16392043868988362
claude_4_5_haiku+claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,3,9,0.9427609427609427,0.5925925925925926,0.08130264167990549
claude_4_5_haiku+claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,3,9,0.9528619528619529,0.48148148148148157,0.09171677796104229
claude_4_5_haiku+claude_4_5_sonnet+qwen3_235b_instruct,3,9,0.9478114478114479,0.5370370370370371,0.09947145134057167
claude_4_5_haiku+claude_4_5_sonnet+qwen3_30b_instruct,3,9,0.9461279461279462,0.5555555555555555,0.07991120124173065
claude_4_5_haiku+claude_4_5_sonnet+qwen3_4b_instruct,3,9,0.930976430976431,0.7222222222222222,0.08433210097655025
claude_4_5_haiku+gemma_3_12b_it+gemma_3_27b_it,3,9,0.9444444444444444,0.574074074074074,-0.058658192482547826
claude_4_5_haiku+gemma_3_12b_it+gemma_3_4b_it,3,9,0.9057239057239056,1.0370370370370372,-0.06062013315778346
claude_4_5_haiku+gemma_3_12b_it+gpt_120b_oss,3,9,0.9511784511784511,0.5,0.06162511790015347
claude_4_5_haiku+gemma_3_12b_it+gpt_5,3,9,0.9444444444444444,0.574074074074074,0.08012063452523072
claude_4_5_haiku+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9528619528619527,0.48148148148148145,-0.05418146480838144
claude_4_5_haiku+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,9,0.9461279461279462,0.5555555555555556,-0.02900601540569902
claude_4_5_haiku+gemma_3_12b_it+qwen3_235b_instruct,3,9,0.9494949494949496,0.5185185185185186,0.0014402711485642988
claude_4_5_haiku+gemma_3_12b_it+qwen3_30b_instruct,3,9,0.9528619528619527,0.48148148148148145,-0.06760789409311342
claude_4_5_haiku+gemma_3_12b_it+qwen3_4b_instruct,3,9,0.941077441077441,0.6111111111111112,-0.04182411648030636
claude_4_5_haiku+gemma_3_27b_it+gemma_3_4b_it,3,9,0.8855218855218855,1.1296296296296298,-0.085776437922817
claude_4_5_haiku+gemma_3_27b_it+gpt_120b_oss,3,9,0.9494949494949496,0.5185185185185185,0.04418673709762364
claude_4_5_haiku+gemma_3_27b_it+gpt_5,3,9,0.9545454545454545,0.4629629629629629,0.0630775105826393
claude_4_5_haiku+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9427609427609427,0.5925925925925926,-0.06984626274870175
claude_4_5_haiku+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,9,0.936026936026936,0.6851851851851852,-0.046107976889830406
claude_4_5_haiku+gemma_3_27b_it+qwen3_235b_instruct,3,9,0.9478114478114479,0.537037037037037,-0.014712444494033416
claude_4_5_haiku+gemma_3_27b_it+qwen3_30b_instruct,3,9,0.9461279461279462,0.5555555555555556,-0.08331375006458855
claude_4_5_haiku+gemma_3_27b_it+qwen3_4b_instruct,3,9,0.9377104377104379,0.6481481481481481,-0.06514384287215558
claude_4_5_haiku+gemma_3_4b_it+gpt_120b_oss,3,9,0.9646464646464646,0.38888888888888884,0.049161035267785945
claude_4_5_haiku+gemma_3_4b_it+gpt_5,3,9,0.9696969696969696,0.33333333333333326,0.06912866265065826
claude_4_5_haiku+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9124579124579123,0.9629629629629631,-0.06194870987078982
claude_4_5_haiku+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,9,0.9023569023569024,1.074074074074074,-0.05060161397687874
claude_4_5_haiku+gemma_3_4b_it+qwen3_235b_instruct,3,9,0.9629629629629629,0.4074074074074074,-0.007809583508869354
claude_4_5_haiku+gemma_3_4b_it+qwen3_30b_instruct,3,9,0.882154882154882,1.1481481481481481,-0.08951496241120388
claude_4_5_haiku+gemma_3_4b_it+qwen3_4b_instruct,3,9,0.8855218855218855,1.1296296296296298,-0.07811703514139731
claude_4_5_haiku+gpt_120b_oss+gpt_5,3,9,0.9410774410774412,0.6111111111111112,0.14666181056659794
claude_4_5_haiku+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,9,0.9494949494949496,0.5185185185185185,0.050582258847181975
claude_4_5_haiku+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,9,0.9511784511784511,0.5,0.06321705036468023
claude_4_5_haiku+gpt_120b_oss+qwen3_235b_instruct,3,9,0.9461279461279462,0.5555555555555556,0.0749520932926943
claude_4_5_haiku+gpt_120b_oss+qwen3_30b_instruct,3,9,0.9494949494949496,0.5185185185185186,0.04375074706275299
claude_4_5_haiku+gpt_120b_oss+qwen3_4b_instruct,3,9,0.9461279461279462,0.5555555555555556,0.052584459522086846
claude_4_5_haiku+gpt_5+llama_4_maverick_17b_128e_instruct,3,9,0.9545454545454545,0.4629629629629629,0.06945055285992249
claude_4_5_haiku+gpt_5+llama_4_scout_17b_16e_instruct,3,9,0.9562289562289562,0.4444444444444444,0.08213604994091529
claude_4_5_haiku+gpt_5+qwen3_235b_instruct,3,9,0.9511784511784511,0.5,0.09392365860931198
claude_4_5_haiku+gpt_5+qwen3_30b_instruct,3,9,0.9545454545454545,0.462962962962963,0.0633372837188091
claude_4_5_haiku+gpt_5+qwen3_4b_instruct,3,9,0.9511784511784511,0.5,0.07189067315260789
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,9,0.9444444444444444,0.574074074074074,-0.042107853408477815
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,9,0.9478114478114479,0.537037037037037,-0.0029721786302353715
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,9,0.9461279461279462,0.5555555555555556,-0.07337745149854688
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,9,0.9427609427609427,0.5925925925925926,-0.0640577118814691
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,9,0.9494949494949496,0.5185185185185186,0.005688730546123961
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,9,0.9326599326599327,0.7222222222222222,-0.05377207684820195
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,9,0.9444444444444444,0.574074074074074,-0.039127917768907776
claude_4_5_haiku+qwen3_235b_instruct+qwen3_30b_instruct,3,9,0.9478114478114479,0.537037037037037,-0.015929811638054975
claude_4_5_haiku+qwen3_235b_instruct+qwen3_4b_instruct,3,9,0.9444444444444444,0.5740740740740741,-0.009623444495015902
claude_4_5_haiku+qwen3_30b_instruct+qwen3_4b_instruct,3,9,0.9478114478114479,0.537037037037037,-0.08061844335236036
claude_4_5_sonnet+gemma_3_12b_it+gemma_3_27b_it,3,9,0.9461279461279462,0.5555555555555555,-0.04557925182406186
claude_4_5_sonnet+gemma_3_12b_it+gemma_3_4b_it,3,9,0.9040404040404041,1.0555555555555556,-0.048751859648187894
claude_4_5_sonnet+gemma_3_12b_it+gpt_120b_oss,3,9,0.9528619528619529,0.48148148148148157,0.08070348450289311
claude_4_5_sonnet+gemma_3_12b_it+gpt_5,3,9,0.9427609427609427,0.5925925925925926,0.10514005063548584
claude_4_5_sonnet+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9461279461279462,0.5555555555555555,-0.03817366440324157
claude_4_5_sonnet+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,9,0.9562289562289562,0.4444444444444444,-0.013722866886259236
claude_4_5_sonnet+gemma_3_12b_it+qwen3_235b_instruct,3,9,0.9461279461279462,0.5555555555555555,0.014748297934919762
claude_4_5_sonnet+gemma_3_12b_it+qwen3_30b_instruct,3,9,0.9545454545454545,0.462962962962963,-0.05131723430812813
claude_4_5_sonnet+gemma_3_12b_it+qwen3_4b_instruct,3,9,0.9393939393939392,0.6296296296296295,-0.029329464878082807
claude_4_5_sonnet+gemma_3_27b_it+gemma_3_4b_it,3,9,0.8838383838383839,1.1481481481481481,-0.07781484445566159
claude_4_5_sonnet+gemma_3_27b_it+gpt_120b_oss,3,9,0.9511784511784511,0.5,0.06780209623230048
claude_4_5_sonnet+gemma_3_27b_it+gpt_5,3,9,0.941077441077441,0.611111111111111,0.09234721047891693
claude_4_5_sonnet+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,9,0.941077441077441,0.611111111111111,-0.05590692734129557
claude_4_5_sonnet+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,9,0.9545454545454545,0.462962962962963,-0.03419123791828316
claude_4_5_sonnet+gemma_3_27b_it+qwen3_235b_instruct,3,9,0.941077441077441,0.611111111111111,-0.0015019317797634432
claude_4_5_sonnet+gemma_3_27b_it+qwen3_30b_instruct,3,9,0.9444444444444444,0.574074074074074,-0.06857654791284418
claude_4_5_sonnet+gemma_3_27b_it+qwen3_4b_instruct,3,9,0.9242424242424243,0.7962962962962963,-0.055312093509337606
claude_4_5_sonnet+gemma_3_4b_it+gpt_120b_oss,3,9,0.9629629629629631,0.4074074074074074,0.07695701008260246
claude_4_5_sonnet+gemma_3_4b_it+gpt_5,3,9,0.9528619528619529,0.5185185185185186,0.10231502243423776
claude_4_5_sonnet+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9191919191919192,0.8888888888888888,-0.04731255414441628
claude_4_5_sonnet+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,9,0.9006734006734006,1.0925925925925926,-0.03970364556019165
