Judge,MISPB,MISPB_raw,MISPB_other,MISPB_ratio,n_overest_self,n_total_self,n_overest_other,n_total_other,n_t2w_self,n_l2w_self,n_l2t_self,n_t2w_other,n_l2w_other,n_l2t_other
Gemma-27B,0.0064525252525252375,0.20201818181818182,0.19556565656565658,1.0329941635246112,11111,55000,96805,495000,4231,2789,4091,32670,24479,39656
Gemma-12B,-0.012400000000000022,0.20603636363636363,0.21843636363636365,0.9432328949558847,11332,55000,108126,495000,4112,2998,4222,35684,31150,41292
Gemma-4B,0.15599595959595958,0.35965454545454545,0.20365858585858587,1.7659679995238613,19781,55000,100811,495000,5397,8034,6350,33925,30583,36303
Llama-Mav,-0.03281272727272727,0.15025454545454545,0.18306727272727272,0.8207613693922751,8264,55000,100687,550000,2421,1770,4073,40323,23032,37332
Llama-Scout,-0.005972727272727241,0.19183636363636364,0.19780909090909088,0.9698055976837172,10551,55000,108795,550000,2684,2595,5272,41721,27596,39478
Qwen-235B,0.023589898989898994,0.18194545454545455,0.15835555555555555,1.148967927946317,10007,55000,78386,495000,4564,2143,3300,31525,16315,30546
Qwen-30B,0.013907070707070729,0.2108909090909091,0.19698383838383837,1.070600059482909,11599,55000,97507,495000,4132,2976,4491,31962,24649,40896
Qwen-4B,0.004698989898989925,0.22403636363636364,0.21933737373737372,1.0214235714548872,12322,55000,108572,495000,3685,3306,5331,32022,29663,46887
GPT-120B,-0.015183636363636344,0.1915090909090909,0.20669272727272725,0.92654005506637,10533,55000,113681,550000,5433,2264,2836,43470,25949,44262
