Judge,SR,SR_d_self,SR_d_other,SR_n_others,AR,AR_d_self,AR_d_other,AR_n_others,DA,DA_d_self,DA_d_other,DA_n_others,PWC,PWC_d_self,PWC_d_other,PWC_n_others
Gemma-27B,0.042376942561785404,0.10412815773259398,0.06175121517080858,9,0.04182925994386254,0.11306223043746155,0.07123297049359902,9,0.043061545834189086,0.11614294516327794,0.07308139932908886,9,0.17550738437984278,0.13711981179633675,-0.03838757258350603,9
Gemma-12B,0.054425960156089484,0.10536044362292052,0.050934483466831035,9,0.05066064215786947,0.12230437461491062,0.07164373245704114,9,0.04473882385157801,0.12199630314232901,0.077257479290751,9,0.231837786366437,0.17845740211729122,-0.05338038424914578,9
Gemma-4B,0.09166837817484769,0.17067159581022806,0.07900321763538037,9,0.09091531457520363,0.17406038200862595,0.08314506743342231,9,0.09058354529703874,0.1762168823166974,0.08563333701965867,9,0.20954461435052926,0.15484792471853465,-0.054696689631994616,9
Llama-Mav,0.0063770794824399395,0.025878003696857665,0.019500924214417726,10,-0.0001848428835490301,0.02310536044362288,0.02329020332717191,10,-0.003234750462107215,0.014479359211337028,0.017714109673444244,10,-0.12462611325827594,-0.1025037808771635,0.022122332381112435,10
Llama-Scout,-0.01050523721503389,-0.023721503388786203,-0.013216266173752312,10,-0.009950708564386967,0.020948860135551417,0.030899568699938384,10,-0.008040665434380711,0.004621072088724643,0.012661737523105353,10,-0.17181146025878002,-0.14115274743740547,0.030658712821374567,10
Qwen-235B,0.018758129663859653,0.02926678989525555,0.010508660231395898,9,0.009002533032107827,0.02957486136783727,0.02057232833572944,9,-0.0009242144177448661,0.04405422057917441,0.044978434996919274,9,0.14754756436826683,0.12594521929087554,-0.021602345077391283,9
Qwen-30B,0.010542890395015991,0.05884165126309293,0.04829876086807694,9,0.014718970356678393,0.08256315465187924,0.06784418429520085,9,0.004586841925104501,0.0841035120147875,0.079516670089683,9,0.19211523740174388,0.15350361283817848,-0.0386116245635654,9
Qwen-4B,0.024645717806531305,0.015711645101663785,-0.00893407270486752,9,0.012014787430684033,0.039433148490449876,0.027418361059765844,9,0.011706715958102479,0.07794208256315482,0.06623536660505235,9,0.12123079221045946,0.09141320786422447,-0.029817584346235,9
GPT-120B,0.004004929143561355,-0.0576093653727664,-0.06161429451632775,10,0.01346272335181771,-0.04621072088724576,-0.05967344423906347,10,0.0019408502772643027,-0.04959950708564387,-0.05154035736290817,10,0.017660897328180148,0.013863216266173761,-0.003797681062006386,10
