Committee,Size,Members,Method,MPA,MRD,MSD,MSD_norm,MIPA
gemma_3_12b_it+gemma_3_27b_it,2,"Gemma-12B, Gemma-27B",SR,0.5454545454545454,3.6666666666666665,0.049317108235777396,0.05642272199178136,0.8034784069904217
gemma_3_12b_it+gemma_3_27b_it,2,"Gemma-12B, Gemma-27B",AR,0.696969696969697,2.5833333333333335,0.07619634421852535,0.08632312789498923,0.8189940066095334
gemma_3_12b_it+gemma_3_27b_it,2,"Gemma-12B, Gemma-27B",DA,0.5606060606060606,3.3333333333333335,0.08919952762374204,0.10099064570985032,0.820366324987397
gemma_3_12b_it+gemma_3_27b_it,2,"Gemma-12B, Gemma-27B",PWC,0.4393939393939394,4.166666666666667,9.25185853854297e-18,0.004541340711049298,0.2903153531619336
gemma_3_12b_it+gemma_3_4b_it,2,"Gemma-12B, Gemma-4B",SR,0.3787878787878788,4.916666666666667,0.06264119942493329,0.07144671825454842,0.8041505629305999
gemma_3_12b_it+gemma_3_4b_it,2,"Gemma-12B, Gemma-4B",AR,0.5909090909090909,3.3333333333333335,0.0842318751283631,0.09544770696823639,0.8234750462107209
gemma_3_12b_it+gemma_3_4b_it,2,"Gemma-12B, Gemma-4B",DA,0.5151515151515151,3.3333333333333335,0.09589173149709192,0.10849859312390409,0.8240351761608693
gemma_3_12b_it+gemma_3_4b_it,2,"Gemma-12B, Gemma-4B",PWC,0.3787878787878788,4.5,9.25185853854297e-18,0.006098524205419759,0.25326275695961464
gemma_3_12b_it+gpt_120b_oss,2,"Gemma-12B, GPT-120B",SR,0.8636363636363636,1.3333333333333333,-0.08043232696652292,-0.08954784423926115,0.8082395115666835
gemma_3_12b_it+gpt_120b_oss,2,"Gemma-12B, GPT-120B",AR,0.8939393939393939,1.1666666666666667,-0.06271821729307865,-0.07009797108490211,0.8259676244888814
gemma_3_12b_it+gpt_120b_oss,2,"Gemma-12B, GPT-120B",DA,0.8787878787878788,1.3333333333333333,0.020756315465187896,0.023850655495560962,0.8297204951548759
gemma_3_12b_it+gpt_120b_oss,2,"Gemma-12B, GPT-120B",PWC,0.5,3.8333333333333335,4.625929269271485e-18,0.0026800466074727476,0.4240183722623649
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-12B, Llama-Mav",SR,0.7878787878787878,1.8333333333333333,0.0011809406448963038,0.002400995766558415,0.7736234806475102
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-12B, Llama-Mav",AR,0.7272727272727273,2.5,0.016866913123844713,0.01989289525322503,0.7839858847252562
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-12B, Llama-Mav",DA,0.7424242424242424,2.1666666666666665,0.05491373998767712,0.06254337370837028,0.7757519744580743
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-12B, Llama-Mav",PWC,0.48484848484848486,3.8333333333333335,1.850371707708594e-17,0.003160325966199473,0.31753766873914746
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-12B, Llama-Scout",SR,0.5454545454545454,3.5,-0.02492811665639762,-0.026428627604176566,0.7635971545398532
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-12B, Llama-Scout",AR,0.5151515151515151,3.9166666666666665,0.02033271719038816,0.02412028032890812,0.7937881588528538
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-12B, Llama-Scout",DA,0.5909090909090909,2.9166666666666665,0.05027983158759498,0.057502863367912306,0.7814652999495884
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-12B, Llama-Scout",PWC,0.48484848484848486,3.8333333333333335,0.0,0.003225443773939318,0.305550887805971
gemma_3_12b_it+qwen3_235b_instruct,2,"Gemma-12B, Qwen-235B",SR,0.7878787878787878,2.1666666666666665,-0.0035684945574039804,-0.003392128852526434,0.7898672492018148
gemma_3_12b_it+qwen3_235b_instruct,2,"Gemma-12B, Qwen-235B",AR,0.8787878787878788,1.3333333333333333,0.017688437050729106,0.020272291580368425,0.8039545174480479
gemma_3_12b_it+qwen3_235b_instruct,2,"Gemma-12B, Qwen-235B",DA,0.696969696969697,2.3333333333333335,0.06927757239679604,0.07843300037934064,0.8106480703523218
gemma_3_12b_it+qwen3_235b_instruct,2,"Gemma-12B, Qwen-235B",PWC,0.5606060606060606,3.1666666666666665,4.625929269271485e-18,0.0009073871000330781,0.30160197165742453
gemma_3_12b_it+qwen3_30b_instruct,2,"Gemma-12B, Qwen-30B",SR,0.7121212121212122,2.8333333333333335,0.029549188745122246,0.03420220719233303,0.7944323082955246
gemma_3_12b_it+qwen3_30b_instruct,2,"Gemma-12B, Qwen-30B",AR,0.7424242424242424,2.1666666666666665,0.06076709796672825,0.06906262193287672,0.8161373438637763
gemma_3_12b_it+qwen3_30b_instruct,2,"Gemma-12B, Qwen-30B",DA,0.6212121212121212,3.0,0.08493787225302935,0.09620667503127045,0.8194421105696521
gemma_3_12b_it+qwen3_30b_instruct,2,"Gemma-12B, Qwen-30B",PWC,0.5454545454545454,3.6666666666666665,1.850371707708594e-17,0.001504638843639848,0.30216210160757295
gemma_3_12b_it+qwen3_4b_instruct,2,"Gemma-12B, Qwen-4B",SR,0.696969696969697,2.6666666666666665,-0.017508728691723152,-0.01854632007241562,0.7783005657312496
gemma_3_12b_it+qwen3_4b_instruct,2,"Gemma-12B, Qwen-4B",AR,0.6666666666666666,3.1666666666666665,0.022797288971041274,0.026609775300696237,0.7868145409735059
gemma_3_12b_it+qwen3_4b_instruct,2,"Gemma-12B, Qwen-4B",DA,0.6515151515151515,2.9166666666666665,0.07921287738755385,0.08977558997531543,0.7946283537780765
gemma_3_12b_it+qwen3_4b_instruct,2,"Gemma-12B, Qwen-4B",PWC,0.5,3.8333333333333335,1.850371707708594e-17,0.002811277291415703,0.28785078138128045
gemma_3_27b_it+gemma_3_4b_it,2,"Gemma-27B, Gemma-4B",SR,0.696969696969697,2.8333333333333335,0.0687769562538509,0.07805031850520631,0.8180977986892959
gemma_3_27b_it+gemma_3_4b_it,2,"Gemma-27B, Gemma-4B",AR,0.7272727272727273,2.1666666666666665,0.08181864859314024,0.09267496968454082,0.8213745588976643
gemma_3_27b_it+gemma_3_4b_it,2,"Gemma-27B, Gemma-4B",DA,0.5151515151515151,3.5,0.0935426865186569,0.10586519251663101,0.8233350137231837
gemma_3_27b_it+gemma_3_4b_it,2,"Gemma-27B, Gemma-4B",PWC,0.4090909090909091,4.333333333333333,9.25185853854297e-18,0.004822440850000022,0.2787766761888758
gemma_3_27b_it+gpt_120b_oss,2,"Gemma-27B, GPT-120B",SR,0.8787878787878788,1.3333333333333333,-0.07083076607106183,-0.07904251260740339,0.824875371086092
gemma_3_27b_it+gpt_120b_oss,2,"Gemma-27B, GPT-120B",AR,0.9090909090909091,1.0,-0.06348839597453276,-0.07098846456090435,0.8285442222595643
gemma_3_27b_it+gpt_120b_oss,2,"Gemma-27B, GPT-120B",DA,0.8787878787878788,1.3333333333333333,0.01840727048675291,0.021217254888287903,0.8295804626673389
gemma_3_27b_it+gpt_120b_oss,2,"Gemma-27B, GPT-120B",PWC,0.5606060606060606,3.5,9.25185853854297e-18,0.0010567940787850432,0.4401501148266398
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-27B, Llama-Mav",SR,0.803030303030303,1.6666666666666667,0.012887656602998574,0.015286745160326493,0.7844059821878676
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-27B, Llama-Mav",AR,0.7575757575757576,2.1666666666666665,0.018381597864037796,0.021552127649458238,0.7861983980283426
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-27B, Llama-Mav",DA,0.7424242424242424,2.1666666666666665,0.05256469500924211,0.05990997310109719,0.7745757015627626
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-27B, Llama-Mav",PWC,0.5151515151515151,3.6666666666666665,1.3877787807814457e-17,0.0015289901917531258,0.3379544054220579
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-27B, Llama-Scout",SR,0.6363636363636364,2.8333333333333335,-0.02677654549188747,-0.028616006189053227,0.7685262981011595
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-27B, Llama-Scout",AR,0.6060606060606061,3.3333333333333335,0.02135962209899366,0.025203250972858363,0.7919397300173641
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-27B, Llama-Scout",DA,0.6212121212121212,3.1666666666666665,0.04793078660915993,0.05486946276063917,0.7798409230941579
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-27B, Llama-Scout",PWC,0.5303030303030303,3.5,-4.625929269271485e-18,0.0017518545130319914,0.31398084355570494
gemma_3_27b_it+qwen3_235b_instruct,2,"Gemma-27B, Qwen-235B",SR,0.8333333333333334,1.6666666666666667,0.007650441569110693,0.008907917782695387,0.7976810620063854
gemma_3_27b_it+qwen3_235b_instruct,2,"Gemma-27B, Qwen-235B",AR,0.8787878787878788,1.1666666666666667,0.019767919490655133,0.022566330086680745,0.8043186019156444
gemma_3_27b_it+qwen3_235b_instruct,2,"Gemma-27B, Qwen-235B",DA,0.7727272727272727,2.0,0.06692852741836104,0.07579959977206759,0.8121044082227077
gemma_3_27b_it+qwen3_235b_instruct,2,"Gemma-27B, Qwen-235B",PWC,0.5909090909090909,3.3333333333333335,1.3877787807814457e-17,-0.00014965057145108437,0.31568923990365766
gemma_3_27b_it+qwen3_30b_instruct,2,"Gemma-27B, Qwen-30B",SR,0.7727272727272727,2.0,0.03619839802834258,0.0413732926784298,0.8030583095278104
gemma_3_27b_it+qwen3_30b_instruct,2,"Gemma-27B, Qwen-30B",AR,0.7272727272727273,2.6666666666666665,0.0605103717395769,0.06873726583927954,0.8171175712765362
gemma_3_27b_it+qwen3_30b_instruct,2,"Gemma-27B, Qwen-30B",DA,0.6515151515151515,2.5833333333333335,0.08258882727459436,0.09357327442399739,0.8182098246793256
gemma_3_27b_it+qwen3_30b_instruct,2,"Gemma-27B, Qwen-30B",PWC,0.6060606060606061,3.5,1.3877787807814457e-17,0.00021721000030278104,0.3073713101439534
gemma_3_27b_it+qwen3_4b_instruct,2,"Gemma-27B, Qwen-4B",SR,0.7424242424242424,2.1666666666666665,-0.014505031834052134,-0.015325554281497678,0.7804010530443063
gemma_3_27b_it+qwen3_4b_instruct,2,"Gemma-27B, Qwen-4B",AR,0.7272727272727273,2.6666666666666665,0.02128260423084823,0.024836387110652,0.785890326555761
gemma_3_27b_it+qwen3_4b_instruct,2,"Gemma-27B, Qwen-4B",DA,0.6515151515151515,2.9166666666666665,0.07686383240911888,0.0871421893680424,0.7917996975298269
gemma_3_27b_it+qwen3_4b_instruct,2,"Gemma-27B, Qwen-4B",PWC,0.5606060606060606,3.5,9.25185853854297e-18,0.001713458808456858,0.2956365876883437
gemma_3_4b_it+gpt_120b_oss,2,"Gemma-4B, GPT-120B",SR,0.9090909090909091,1.0,-0.06541384267816801,-0.07295718670753785,0.8309247745476951
gemma_3_4b_it+gpt_120b_oss,2,"Gemma-4B, GPT-120B",AR,0.9090909090909091,1.0,-0.059278085849250366,-0.06624970767109073,0.8326331708956478
gemma_3_4b_it+gpt_120b_oss,2,"Gemma-4B, GPT-120B",DA,0.9090909090909091,1.0,0.025099474360102802,0.02872520230234168,0.8367501260292388
gemma_3_4b_it+gpt_120b_oss,2,"Gemma-4B, GPT-120B",PWC,0.4393939393939394,4.166666666666667,9.25185853854297e-18,0.0030916246735815424,0.39225900408894865
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-4B, Llama-Mav",SR,0.7878787878787878,1.8333333333333333,0.015121174779215448,0.017789886990760163,0.7845460146754047
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-4B, Llama-Mav",AR,0.7121212121212122,2.6666666666666665,0.02171903881700558,0.025312420125525214,0.7865064695009242
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-4B, Llama-Mav",DA,0.7272727272727273,2.3333333333333335,0.05925689888259201,0.06741792051515098,0.7784125917212793
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,"Gemma-4B, Llama-Mav",PWC,0.4696969696969697,3.8333333333333335,1.3877787807814457e-17,0.0033294470371812344,0.3116002912675741
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-4B, Llama-Scout",SR,0.6212121212121212,2.8333333333333335,-0.020230026699527625,-0.021272567692700816,0.7680501876435333
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-4B, Llama-Scout",AR,0.5303030303030303,4.333333333333333,0.024825426165537078,0.02915369524157808,0.7925838794600347
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-4B, Llama-Scout",DA,0.5757575757575758,3.1666666666666665,0.054622990482509876,0.062377410174693004,0.7840699042177786
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,"Gemma-4B, Llama-Scout",PWC,0.48484848484848486,3.8333333333333335,-4.625929269271485e-18,0.0035772825106484066,0.3041505629305999
gemma_3_4b_it+qwen3_235b_instruct,2,"Gemma-4B, Qwen-235B",SR,0.8484848484848485,1.3333333333333333,0.010243376463339495,0.011848165415761065,0.7991654063742788
gemma_3_4b_it+qwen3_235b_instruct,2,"Gemma-4B, Qwen-235B",AR,0.8787878787878788,1.1666666666666667,0.02161634832614499,0.02466591286024121,0.8047947123732706
