Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean,MRSPB_median_aware,MRSPB_mean_aware
qwen3_235b_instruct+qwen3_4b_instruct,2,AR,0.8591127098321343,-0.002065014654942715,-0.002065014654942715,-0.002065014654942715,-0.002065014654942715
qwen3_30b_instruct+qwen3_4b_instruct,2,SR,0.8426258992805755,0.00792699173994138,0.00792699173994138,0.00792699173994138,0.00792699173994138
qwen3_30b_instruct+qwen3_4b_instruct,2,AR,0.8659072741806555,0.005928590460964563,0.005928590460964563,0.005928590460964563,0.005928590460964563
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it,3,SR,0.8991806554756195,0.039435118571809216,0.049427124966693305,0.039435118571809216,0.049427124966693305
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it,3,AR,0.8999800159872102,0.04209965361044496,0.0504929389821476,0.04209965361044496,0.0504929389821476
gemma_3_12b_it+gemma_3_27b_it+gpt_120b_oss,3,SR,0.9054756195043965,0.02984279243272049,0.01685762501110223,0.030275779376498807,0.018385291766586733
gemma_3_12b_it+gemma_3_27b_it+gpt_120b_oss,3,AR,0.90517585931255,0.03210764721556088,0.020445865529798383,0.03312350119904077,0.022581934452438054
gemma_3_12b_it+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,SR,0.8960831334932055,0.031441513455901945,0.01432631672439826,0.030425659472422054,0.015237809752198234
gemma_3_12b_it+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,AR,0.9014788169464428,0.03210764721556088,0.015969446664890308,0.03117505995203837,0.017086330935251803
gemma_3_12b_it+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,SR,0.8897881694644284,0.03210764721556088,0.022883915090150097,0.03387290167865707,0.025779376498800955
gemma_3_12b_it+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,AR,0.8978816946442846,0.03170796695976551,0.023616662225774923,0.03372302158273381,0.026678657074340528
