Method,MRD-SP,MRD-SP_d_self,MRD-SP_d_other,MRD-FSP,MRD-FSP_d_family,MRD-FSP_d_nonfamily,MRD-FOSP,MRD-FOSP_d_family,MRD-FOSP_d_nonfamily,MSD-SP,MSD-SP_d_self,MSD-SP_d_other,MSD-SP-norm,MSD-FSP,MSD-FSP_d_family,MSD-FSP_d_nonfamily,MSD-FSP-norm,MSD-FOSP,MSD-FOSP_d_family,MSD-FOSP_d_nonfamily,MSD-FOSP-norm
SR,-3.9296296296296296,-3.111111111111111,0.8185185185185184,-3.318518518518518,-2.5,0.8185185185185184,-3.068518518518518,-2.25,0.8185185185185184,0.02692164335212188,0.04761415759567332,0.02069251424355144,0.032162135138493544,0.024457071571468772,0.04514958581502022,0.02069251424355144,0.029534851162542446,0.023378821417433037,0.04407133566098448,0.02069251424355144,0.028538601815757854
AR,-3.8228395061728397,-3.0555555555555554,0.7672839506172839,-2.924691358024691,-2.1574074074074074,0.7672839506172839,-2.461728395061728,-1.6944444444444444,0.7672839506172839,0.024718742155587517,0.062093516807010335,0.037374774651422825,0.029835901751969977,0.02198032906597293,0.05935510371739575,0.037374774651422825,0.02681848287759879,0.020628237602975733,0.05800301225439855,0.037374774651422825,0.025421963224972706
DA,-4.051851851851852,-3.3333333333333335,0.7185185185185186,-2.8296296296296295,-2.111111111111111,0.7185185185185186,-2.107407407407407,-1.3888888888888888,0.7185185185185186,0.020490965869893813,0.06555076333264877,0.04505979746275495,0.025099486290078157,0.018564459661194133,0.06362425712394909,0.04505979746275495,0.02299981458323179,0.01759264901593924,0.0626524464786942,0.04505979746275495,0.02204152954994551
PWC,-3.5481481481481483,-2.6666666666666665,0.8814814814814814,-2.9925925925925925,-2.111111111111111,0.8814814814814814,-2.603703703703703,-1.7222222222222223,0.8814814814814814,0.08877852254315594,0.06794376295300511,-0.020834759590150836,0.1851173829017071,0.07245384632938545,0.051619086739234606,-0.020834759590150836,0.15135827842780805,0.06345131329727755,0.04261655370712672,-0.020834759590150836,0.13279150097679293
