Committee,Size,Members,Method,MISPB_median,MISPB_mean,HSPP_median,HSPP_mean,MSD_SP_median,MSD_SP_mean,MSD_SP_norm_median,MSD_SP_norm_mean,MISPB_median_aware,MISPB_mean_aware,HSPP_median_aware,HSPP_mean_aware,MSD_SP_median_aware,MSD_SP_mean_aware,MSD_SP_norm_median_aware,MSD_SP_norm_mean_aware
gemma_3_4b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",DA,0.012952071547265659,0.009529055185247442,-0.010938890733970363,-0.017955229727727905,0.00011106559627822518,0.00897801416234363,-0.0011167083679297675,0.010380245012718337,0.018380664314120873,0.015084299557497335,-0.03005128249512945,-0.03260252082884138,0.008100188303515565,0.01737275688985493,0.00844578057463334,0.020332673804751997
gemma_3_4b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, GPT-120B, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",PWC,0.09800126962788705,0.03006684217405109,0.09950896624451216,0.03184906851597136,0.11076943184152056,0.036966865201615656,0.2222298445494681,0.07250221967012521,0.09160925334677636,0.038892623088556524,0.10234117355023475,0.03744948769630374,0.10627065479191172,0.05062524505685317,0.2102650804092095,0.09870144359962617
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",SR,-0.005181202038873012,0.0019467627600714573,-0.017330816166944707,-0.02181831253696237,-0.005896145683576399,0.004518381597864045,-0.0077466716614121404,0.005331642880440042,-0.0005881364476558529,0.006070408334733664,-0.02529297598233221,-0.03541188786583845,-0.0003594167180119498,0.00981549941808722,-0.0008864469569834187,0.01180280684756918
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",AR,-0.007672846767116631,0.0032524879105285793,-0.0014297093874596767,-0.004940504988741397,-0.0036660505237214105,0.007014901531229381,-0.0055344122727345665,0.008138447258161267,-0.0019324483280121,0.008443958998487643,-0.002484141011273755,-0.006400214790648895,0.0032860957075376077,0.014060039706989902,0.003055773336211466,0.01668911710676534
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",DA,0.0013536473795254245,0.005148838975086692,-0.03876674925457069,-0.013327476497808521,0.0010458343144727385,0.007074452821012757,-0.0003235104278406474,0.008222631743358784,0.00588136447655857,0.009956309863888428,-0.03948994089765784,-0.021130094877511735,0.008357727026858407,0.01456880588889227,0.008680344183461815,0.01728176340870381
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-4B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",PWC,0.0003827554659347754,-0.03931925540058628,0.014626333843827416,-0.030179384782388612,0.024547695065255108,-0.04260348400828994,0.046959664593482664,-0.08301637521248463,-0.051090853077914056,-0.07828982990720511,-0.03653760212885737,-0.0688303131231674,-0.03176987060998156,-0.08386895759816278,-0.062139811109799846,-0.1638502378823087
gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",SR,-0.003416792695905453,-0.003259956309863893,0.01751617006420031,0.007635760335823434,-0.0023413431916204028,-0.0022300951598548217,-0.0037601056627616283,-0.0035549299850892303,-0.0035848316809499944,-0.004852592468119287,0.02002105436075946,0.012189577377794822,-0.003132059971246586,-0.0034623810501813557,-0.00531335494511675,-0.0055993551562723955
gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",AR,-0.008831382214006984,-0.009095576840493662,-0.019517680347429067,-0.020373826022459685,-0.0071814883275141475,-0.007140412131169956,-0.009176965787065304,-0.009450029229120204,-0.011846748445639384,-0.014252506581526913,-0.029492353260446524,-0.02922759025669014,-0.013822140069829462,-0.011658793729033978,-0.01768299086990942,-0.015432560215570636
gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",DA,0.009852685823110954,0.007757799809555811,-0.03122791204760958,-0.02514421017146488,-0.003953583898131082,-0.0043654868670271706,-0.005640422270632569,-0.006197463514001733,0.014146081890998724,0.011875688493063747,-0.044657167205066156,-0.04189412491186619,-0.008290545628808117,-0.007644166039113592,-0.011490770216458715,-0.010695929700118387
gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-30B, Qwen-4B",PWC,0.10057413319890213,0.011961575085419804,0.09846587316069125,0.008120613673058025,0.11189342594148506,0.00578240818536567,0.22602178889897648,0.015800440694640688,0.0794824399260628,0.012939001848428791,0.08114523204531071,0.0023969787253336574,0.08215706043802157,0.0020972198883474264,0.17265497456580303,0.011308286778176893
